Country|AlphabeticCode|Value|ExchangeRate
SAUDI ARABIA|SAR|1.93238016879439|3.750921
SENEGAL|XOF|236.929289816577|604.330392
SERBIA|RSD|43.8670187854504|108.012434
SEYCHELLES|SCR|6.43167990719105|13.957368
SIERRA LEONE|SLL|3.35619561064166|17665.0
SINGAPORE|SGD|0.894951925540494|1.353439
SINT MAARTEN (DUTCH PART)|ANG|1.55062450528201|1.801691
SLOVENIA|EUR|0.559115|0.921296
SOLOMON ISLANDS|SBD|6.77370401979495|8.3668
SOMALIA|SOS|9083.34743189343|568.96867
SOUTH AFRICA|ZAR|6.96863703192769|18.787946
SPAIN|EUR|0.608216|0.921296
SRI LANKA|LKR|75.5734614662845|307.912098
SURINAME|SRD|8.2153821218929|37.595
SWEDEN|SEK|8.750849|10.93107
SWITZERLAND|CHF|1.051951|0.898819
TAJIKISTAN|TJS|2.38045937205907|10.936501
THAILAND|THB|11.7180545080213|34.987751
TIMOR-LESTE|IDR|0.488452791527424|15076.983404
TIMOR-LESTE|USD|0.488452791527424|1.0
TOGO|XOF|219.655788288047|604.330392
TONGA|TOP|1.48734698565521|2.353717
TRINIDAD AND TOBAGO|TTD|4.43065361106948|6.778166
TUNISIA|TND|0.938866331815241|3.095
TURKMENISTAN|TMT|1.69488603288457|3.5
TUVALU|AUD|1.41872437604791|1.502629
UGANDA|UGX|1278.43253381317|3696.954495
UKRAINE|UAH|11.57260230056|36.919592
URUGUAY|UYU|29.6817977268193|37.448807
UZBEKISTAN|UZS|2614.18486162576|11537.729588
VANUATU|VUV|105.742942858349|118.979
ZAMBIA|ZMW|6.47138425849448|17.569381
ZIMBABWE|ZWL|226.641339639859|322.0
