index|Country|Date|Value
873|Seychelles|2021|7.84719803444211
877|Sierra Leone|2021|2969.7040236143
881|Singapore|2021|0.839571671840979
888|Slovak Republic|2022|0.533598
892|Slovenia|2022|0.551638
897|Solomon Islands|2021|6.98754381902298
901|Somalia|2021|9320.01981116344
905|South Africa|2021|7.12947417131906
912|Spain|2022|0.596215
917|Sri Lanka|2021|54.2780375008756
921|St. Kitts and Nevis|2021|1.67793017307564
925|St. Lucia|2021|1.77351506945414
933|St. Vincent and the Grenadines|2021|1.55525262039466
937|Sudan|2021|72.1131467612883
941|Suriname|2021|5.91283127740846
944|Sweden|2022|8.666219
948|Switzerland|2022|1.065937
957|Tajikistan|2021|2.36572374268187
961|Tanzania|2021|890.581019580047
965|Thailand|2021|12.044093056743
969|Timor-Leste|2021|0.495858551673954
973|Togo|2021|231.19257683534
977|Tonga|2021|1.49395699002118
981|Trinidad and Tobago|2021|4.28141499741282
985|Tunisia|2021|0.946064697155588
988|Turkiye|2022|5.035388
995|Turkmenistan|2019|1.64516322977735
997|Turks and Caicos Islands|2021|1.0280705046559
1001|Tuvalu|2021|1.38595178476843
1005|Uganda|2021|1310.59526556342
1009|Ukraine|2021|9.2789257465561
1013|United Arab Emirates|2021|2.12440381817792
1016|United Kingdom|2022|0.663595
1020|United States|2022|1.0
1025|Uruguay|2021|30.1031204448247
1029|Uzbekistan|2021|2475.94969913473
1033|Vanuatu|2021|107.276262116737
1041|Vietnam|2021|7451.06735993479
1049|West Bank and Gaza|2021|0.591015082515553
1057|Zambia|2021|6.40281897385682
1061|Zimbabwe|2021|85.8341866386287
